study,antibody,virus,IC50
imprinted_2022,BD56-563,BA.1,10.0
imprinted_2022,BD56-564,BA.1,0.00344
imprinted_2022,BD56-565,BA.1,10.0
imprinted_2022,BD56-566,BA.1,2.46
imprinted_2022,BD56-568,BA.1,7.73
imprinted_2022,BD56-569,BA.1,3.08
imprinted_2022,BD56-571,BA.1,10.0
imprinted_2022,BD56-572,BA.1,1.07
imprinted_2022,BD56-573,BA.1,10.0
imprinted_2022,BD56-574,BA.1,0.0729
imprinted_2022,BD56-576,BA.1,1.92
imprinted_2022,BD56-577,BA.1,10.0
imprinted_2022,BD56-579,BA.1,0.0354
imprinted_2022,BD56-580,BA.1,1.52
imprinted_2022,BD56-581,BA.1,0.235
imprinted_2022,BD56-583,BA.1,4.84
imprinted_2022,BD56-585,BA.1,0.001
imprinted_2022,BD56-586,BA.1,6.07
imprinted_2022,BD56-587,BA.1,0.0289
imprinted_2022,BD56-588,BA.1,10.0
imprinted_2022,BD56-589,BA.1,0.001
imprinted_2022,BD56-590,BA.1,10.0
imprinted_2022,BD56-591,BA.1,10.0
imprinted_2022,BD56-592,BA.1,0.107
imprinted_2022,BD56-593,BA.1,0.001
imprinted_2022,BD56-594,BA.1,10.0
imprinted_2022,BD56-595,BA.1,0.00119
imprinted_2022,BD56-598,BA.1,2.2
imprinted_2022,BD56-599,BA.1,10.0
imprinted_2022,BD56-600,BA.1,10.0
imprinted_2022,BD56-602,BA.1,5.42
imprinted_2022,BD56-603,BA.1,7.63
imprinted_2022,BD56-604,BA.1,10.0
imprinted_2022,BD56-605,BA.1,0.0214
imprinted_2022,BD56-606,BA.1,0.00154
imprinted_2022,BD56-607,BA.1,10.0
imprinted_2022,BD56-608,BA.1,0.115
imprinted_2022,BD56-609,BA.1,3.79
imprinted_2022,BD56-612,BA.1,3.79
imprinted_2022,BD56-614,BA.1,10.0
imprinted_2022,BD56-616,BA.1,0.0864
imprinted_2022,BD56-618,BA.1,0.0556
imprinted_2022,BD56-619,BA.1,0.001
imprinted_2022,BD56-620,BA.1,10.0
imprinted_2022,BD56-623,BA.1,0.443
imprinted_2022,BD56-626,BA.1,8.41
imprinted_2022,BD56-627,BA.1,4.81
imprinted_2022,BD56-628,BA.1,3.32
imprinted_2022,BD56-629,BA.1,10.0
imprinted_2022,BD56-631,BA.1,0.958
imprinted_2022,BD56-632,BA.1,0.995
imprinted_2022,BD56-637,BA.1,8.9
imprinted_2022,BD56-638,BA.1,2.33
imprinted_2022,BD56-639,BA.1,10.0
imprinted_2022,BD56-640,BA.1,1.31
imprinted_2022,BD56-642,BA.1,2.76
imprinted_2022,BD56-643,BA.1,10.0
imprinted_2022,BD56-644,BA.1,3.91
imprinted_2022,BD56-646,BA.1,0.301
imprinted_2022,BD56-647,BA.1,0.521
imprinted_2022,BD56-649,BA.1,0.47
imprinted_2022,BD56-651,BA.1,0.29
imprinted_2022,BD56-652,BA.1,10.0
imprinted_2022,BD56-653,BA.1,10.0
imprinted_2022,BD56-654,BA.1,1.87
imprinted_2022,BD56-656,BA.1,10.0
imprinted_2022,BD56-657,BA.1,0.00129
imprinted_2022,BD56-658,BA.1,0.715
imprinted_2022,BD56-660,BA.1,0.001
imprinted_2022,BD56-661,BA.1,10.0
imprinted_2022,BD56-663,BA.1,10.0
imprinted_2022,BD56-664,BA.1,10.0
imprinted_2022,BD56-666,BA.1,4.63
imprinted_2022,BD56-668,BA.1,10.0
imprinted_2022,BD56-669,BA.1,2.3
imprinted_2022,BD56-670,BA.1,10.0
imprinted_2022,BD56-671,BA.1,0.00654
imprinted_2022,BD56-674,BA.1,1.02
imprinted_2022,BD56-676,BA.1,10.0
imprinted_2022,BD56-677,BA.1,3.95
imprinted_2022,BD56-678,BA.1,3.35
imprinted_2022,BD56-679,BA.1,2.5
imprinted_2022,BD56-682,BA.1,0.133
imprinted_2022,BD56-683,BA.1,10.0
imprinted_2022,BD56-687,BA.1,10.0
imprinted_2022,BD56-688,BA.1,10.0
imprinted_2022,BD56-690,BA.1,10.0
imprinted_2022,BD56-691,BA.1,10.0
imprinted_2022,BD56-693,BA.1,10.0
imprinted_2022,BD56-694,BA.1,1.77
imprinted_2022,BD56-695,BA.1,6.47
imprinted_2022,BD56-697,BA.1,10.0
imprinted_2022,BD56-698,BA.1,1.86
imprinted_2022,BD56-701,BA.1,5.22
imprinted_2022,BD56-702,BA.1,1.53
imprinted_2022,BD56-703,BA.1,3.66
imprinted_2022,BD56-708,BA.1,3.36
imprinted_2022,BD56-709,BA.1,3.97
imprinted_2022,BD56-711,BA.1,10.0
imprinted_2022,BD56-712,BA.1,4.33
imprinted_2022,BD56-713,BA.1,10.0
imprinted_2022,BD56-715,BA.1,10.0
imprinted_2022,BD56-716,BA.1,2.24
imprinted_2022,BD56-717,BA.1,10.0
imprinted_2022,BD56-719,BA.1,0.00438
imprinted_2022,BD56-720,BA.1,1.27
imprinted_2022,BD56-722,BA.1,1.83
imprinted_2022,BD56-724,BA.1,3.66
imprinted_2022,BD56-725,BA.1,1.21
imprinted_2022,BD56-726,BA.1,1.4
imprinted_2022,BD56-727,BA.1,4.4
imprinted_2022,BD56-729,BA.1,0.212
imprinted_2022,BD56-730,BA.1,0.79
imprinted_2022,BD56-732,BA.1,4.28
imprinted_2022,BD56-733,BA.1,0.379
imprinted_2022,BD56-739,BA.1,10.0
imprinted_2022,BD56-887,BA.1,0.0021
imprinted_2022,BD56-900,BA.1,0.0176
imprinted_2022,BD56-901,BA.1,0.536
imprinted_2022,BD56-904,BA.1,2.99
imprinted_2022,BD56-907,BA.1,10.0
imprinted_2022,BD56-908,BA.1,0.202
imprinted_2022,BD56-910,BA.1,0.0566
imprinted_2022,BD56-913,BA.1,0.86
imprinted_2022,BD56-914,BA.1,10.0
imprinted_2022,BD56-917,BA.1,0.00303
imprinted_2022,BD56-918,BA.1,3.14
imprinted_2022,BD56-921,BA.1,10.0
imprinted_2022,BD56-924,BA.1,10.0
imprinted_2022,BD56-929,BA.1,10.0
imprinted_2022,BD56-930,BA.1,10.0
imprinted_2022,BD56-931,BA.1,10.0
imprinted_2022,BD56-937,BA.1,0.0159
imprinted_2022,BD56-939,BA.1,10.0
imprinted_2022,BD56-940,BA.1,0.569
imprinted_2022,BD56-941,BA.1,10.0
imprinted_2022,BD56-942,BA.1,0.0594
imprinted_2022,BD56-945,BA.1,10.0
imprinted_2022,BD56-948,BA.1,10.0
imprinted_2022,BD56-949,BA.1,0.0366
imprinted_2022,BD56-950,BA.1,10.0
imprinted_2022,BD56-952,BA.1,6.65
imprinted_2022,BD56-954,BA.1,10.0
imprinted_2022,BD56-957,BA.1,1.06
imprinted_2022,BD56-963,BA.1,0.143
imprinted_2022,BD56-964,BA.1,0.17
imprinted_2022,BD56-965,BA.1,0.0209
imprinted_2022,BD56-967,BA.1,10.0
imprinted_2022,BD56-968,BA.1,3.31
imprinted_2022,BD56-971,BA.1,1.03
imprinted_2022,BD56-975,BA.1,10.0
imprinted_2022,BD56-976,BA.1,10.0
imprinted_2022,BD56-977,BA.1,3.01
imprinted_2022,BD56-1038,BA.1,10.0
imprinted_2022,BD56-1057,BA.1,10.0
imprinted_2022,BD56-1061,BA.1,10.0
imprinted_2022,BD56-1076,BA.1,1.69
imprinted_2022,BD56-1091,BA.1,10.0
imprinted_2022,BD56-1092,BA.1,10.0
imprinted_2022,BD56-1097,BA.1,10.0
imprinted_2022,BD58-0448,BA.1,0.0152
imprinted_2022,BD58-0571,BA.1,10.0
imprinted_2022,BD58-0572,BA.1,10.0
imprinted_2022,BD58-0573,BA.1,0.000615
imprinted_2022,BD58-0574,BA.1,10.0
imprinted_2022,BD58-0575,BA.1,10.0
imprinted_2022,BD58-0577,BA.1,10.0
imprinted_2022,BD58-0578,BA.1,10.0
imprinted_2022,BD58-0580,BA.1,10.0
imprinted_2022,BD58-0586,BA.1,10.0
imprinted_2022,BD58-0588,BA.1,0.0349
imprinted_2022,BD58-0589,BA.1,10.0
imprinted_2022,BD56-1180,BA.1,0.000717
imprinted_2022,BD56-1181,BA.1,0.00221
imprinted_2022,BD56-1192,BA.1,0.544
imprinted_2022,BD56-1198,BA.1,0.0116
imprinted_2022,BD56-1211,BA.1,1.25
imprinted_2022,BD56-1220,BA.1,1.96
imprinted_2022,BD56-1221,BA.1,10.0
imprinted_2022,BD56-1223,BA.1,0.00453
imprinted_2022,BD56-1225,BA.1,3.85
imprinted_2022,BD56-1228,BA.1,10.0
imprinted_2022,BD56-1230,BA.1,0.226
imprinted_2022,BD56-1231,BA.1,10.0
imprinted_2022,BD56-1232,BA.1,10.0
imprinted_2022,BD56-1233,BA.1,10.0
imprinted_2022,BD56-1234,BA.1,2.17
imprinted_2022,BD56-1235,BA.1,0.444
imprinted_2022,BD56-1243,BA.1,0.26
imprinted_2022,BD56-1246,BA.1,1.65
imprinted_2022,BD56-1247,BA.1,0.00576
imprinted_2022,BD56-1249,BA.1,0.00444
imprinted_2022,BD56-1251,BA.1,1.48
imprinted_2022,BD56-1252,BA.1,0.111
imprinted_2022,BD56-1254,BA.1,0.0606
imprinted_2022,BD56-1255,BA.1,0.186
imprinted_2022,BD56-1256,BA.1,10.0
imprinted_2022,BD56-1257,BA.1,0.192
imprinted_2022,BD56-1258,BA.1,0.0397
imprinted_2022,BD56-1259,BA.1,0.106
imprinted_2022,BD56-1261,BA.1,5.18
imprinted_2022,BD56-1262,BA.1,10.0
imprinted_2022,BD56-1263,BA.1,0.108
imprinted_2022,BD56-1265,BA.1,1.18
imprinted_2022,BD56-1267,BA.1,0.0107
imprinted_2022,BD56-1268,BA.1,0.0065
imprinted_2022,BD56-1270,BA.1,10.0
imprinted_2022,BD56-1271,BA.1,10.0
imprinted_2022,BD56-1272,BA.1,10.0
imprinted_2022,BD56-1273,BA.1,10.0
imprinted_2022,BD56-1274,BA.1,0.255
imprinted_2022,BD56-1276,BA.1,10.0
imprinted_2022,BD56-1279,BA.1,0.0191
imprinted_2022,BD56-1280,BA.1,0.835
imprinted_2022,BD56-1282,BA.1,0.119
imprinted_2022,BD56-1283,BA.1,10.0
imprinted_2022,BD56-1286,BA.1,0.0444
imprinted_2022,BD56-1287,BA.1,0.166
imprinted_2022,BD56-1288,BA.1,0.751
imprinted_2022,BD56-1289,BA.1,0.014
imprinted_2022,BD56-1290,BA.1,0.00215
imprinted_2022,BD56-1292,BA.1,0.193
imprinted_2022,BD56-1293,BA.1,4.29
imprinted_2022,BD56-1294,BA.1,10.0
imprinted_2022,BD56-1297,BA.1,0.00777
imprinted_2022,BD56-1298,BA.1,2.85
imprinted_2022,BD56-1299,BA.1,0.539
imprinted_2022,BD56-1300,BA.1,10.0
imprinted_2022,BD56-1301,BA.1,0.167
imprinted_2022,BD56-1302,BA.1,0.00217
imprinted_2022,BD56-1304,BA.1,10.0
imprinted_2022,BD56-1305,BA.1,10.0
imprinted_2022,BD56-1306,BA.1,1.49
imprinted_2022,BD56-1307,BA.1,10.0
imprinted_2022,BD56-1308,BA.1,3.32
imprinted_2022,BD56-1309,BA.1,0.00917
imprinted_2022,BD56-1311,BA.1,10.0
imprinted_2022,BD56-1312,BA.1,4.04
imprinted_2022,BD56-1314,BA.1,3.17
imprinted_2022,BD56-1315,BA.1,10.0
imprinted_2022,BD56-1317,BA.1,0.0201
imprinted_2022,BD56-1318,BA.1,10.0
imprinted_2022,BD56-1320,BA.1,1.27
imprinted_2022,BD56-1321,BA.1,2.46
imprinted_2022,BD56-1322,BA.1,0.0444
imprinted_2022,BD56-1323,BA.1,10.0
imprinted_2022,BD56-1324,BA.1,0.693
imprinted_2022,BD56-1325,BA.1,10.0
imprinted_2022,BD56-1326,BA.1,10.0
imprinted_2022,BD56-1327,BA.1,0.0998
imprinted_2022,BD56-1328,BA.1,0.00383
imprinted_2022,BD56-1329,BA.1,3.23
imprinted_2022,BD56-1330,BA.1,0.13
imprinted_2022,BD56-1331,BA.1,10.0
imprinted_2022,BD56-1332,BA.1,10.0
imprinted_2022,BD56-1333,BA.1,0.00755
imprinted_2022,BD56-1335,BA.1,10.0
imprinted_2022,BD56-1336,BA.1,10.0
imprinted_2022,BD56-1337,BA.1,10.0
imprinted_2022,BD56-1338,BA.1,10.0
imprinted_2022,BD56-1341,BA.1,1.17
imprinted_2022,BD56-1342,BA.1,10.0
imprinted_2022,BD56-1343,BA.1,0.24
imprinted_2022,BD56-1344,BA.1,10.0
imprinted_2022,BD56-1354,BA.1,0.00565
imprinted_2022,BD56-1382,BA.1,0.00089
imprinted_2022,BD56-1390,BA.1,0.00245
imprinted_2022,BD56-1391,BA.1,10.0
imprinted_2022,BD56-1392,BA.1,10.0
imprinted_2022,BD56-1397,BA.1,10.0
imprinted_2022,BD56-1398,BA.1,10.0
imprinted_2022,BD56-1399,BA.1,10.0
imprinted_2022,BD56-1400,BA.1,10.0
imprinted_2022,BD56-1401,BA.1,10.0
imprinted_2022,BD56-1402,BA.1,0.541
imprinted_2022,BD56-1403,BA.1,10.0
imprinted_2022,BD56-1404,BA.1,10.0
imprinted_2022,BD56-1405,BA.1,0.412
imprinted_2022,BD56-1408,BA.1,0.433
imprinted_2022,BD56-1409,BA.1,10.0
imprinted_2022,BD56-1410,BA.1,1.27
imprinted_2022,BD56-1413,BA.1,10.0
imprinted_2022,BD56-1414,BA.1,10.0
imprinted_2022,BD56-1416,BA.1,0.617
imprinted_2022,BD56-1417,BA.1,1.61
imprinted_2022,BD56-1419,BA.1,10.0
imprinted_2022,BD56-1420,BA.1,0.356
imprinted_2022,BD56-1423,BA.1,10.0
imprinted_2022,BD56-1426,BA.1,10.0
imprinted_2022,BD56-1427,BA.1,10.0
imprinted_2022,BD56-1428,BA.1,0.537
imprinted_2022,BD56-1429,BA.1,10.0
imprinted_2022,BD56-1430,BA.1,0.00609
imprinted_2022,BD56-1431,BA.1,0.912
imprinted_2022,BD56-1433,BA.1,10.0
imprinted_2022,BD56-1435,BA.1,10.0
imprinted_2022,BD56-1436,BA.1,10.0
imprinted_2022,BD56-1437,BA.1,10.0
imprinted_2022,BD56-1438,BA.1,10.0
imprinted_2022,BD56-1439,BA.1,0.00261
imprinted_2022,BD56-1440,BA.1,10.0
imprinted_2022,BD56-1441,BA.1,10.0
imprinted_2022,BD56-1442,BA.1,10.0
imprinted_2022,BD56-1443,BA.1,0.0847
imprinted_2022,BD56-1444,BA.1,10.0
imprinted_2022,BD56-1445,BA.1,10.0
imprinted_2022,BD56-1446,BA.1,0.00137
imprinted_2022,BD56-1447,BA.1,10.0
imprinted_2022,BD56-1448,BA.1,10.0
imprinted_2022,BD56-1450,BA.1,10.0
imprinted_2022,BD56-1451,BA.1,10.0
imprinted_2022,BD56-1452,BA.1,0.223
imprinted_2022,BD56-1453,BA.1,10.0
imprinted_2022,BD56-1455,BA.1,10.0
imprinted_2022,BD56-1457,BA.1,0.0616
imprinted_2022,BD56-1458,BA.1,0.0882
imprinted_2022,BD56-1459,BA.1,0.00925
imprinted_2022,BD56-1460,BA.1,10.0
imprinted_2022,BD56-1461,BA.1,0.00255
imprinted_2022,BD56-1462,BA.1,10.0
imprinted_2022,BD56-1463,BA.1,0.0108
imprinted_2022,BD56-1464,BA.1,10.0
imprinted_2022,BD56-1466,BA.1,10.0
imprinted_2022,BD56-1467,BA.1,10.0
imprinted_2022,BD56-1468,BA.1,0.874
imprinted_2022,BD56-1469,BA.1,0.00241
imprinted_2022,BD56-1470,BA.1,0.277
imprinted_2022,BD56-1471,BA.1,10.0
imprinted_2022,BD56-1472,BA.1,0.059
imprinted_2022,BD56-1477,BA.1,0.262
imprinted_2022,BD56-1478,BA.1,0.162
imprinted_2022,BD56-1479,BA.1,0.529
imprinted_2022,BD56-1481,BA.1,10.0
imprinted_2022,BD56-1485,BA.1,10.0
imprinted_2022,BD56-1486,BA.1,10.0
imprinted_2022,BD56-1489,BA.1,10.0
imprinted_2022,BD56-1493,BA.1,10.0
imprinted_2022,BD56-1515,BA.1,10.0
imprinted_2022,BD56-1517,BA.1,0.519
imprinted_2022,BD56-1518,BA.1,10.0
imprinted_2022,BD56-1519,BA.1,10.0
imprinted_2022,BD56-1520,BA.1,0.134
imprinted_2022,BD56-1521,BA.1,0.029
imprinted_2022,BD56-1526,BA.1,10.0
imprinted_2022,BD56-1527,BA.1,10.0
imprinted_2022,BD56-1529,BA.1,10.0
imprinted_2022,BD56-1531,BA.1,10.0
imprinted_2022,BD56-1532,BA.1,1.02
imprinted_2022,BD56-1533,BA.1,0.513
imprinted_2022,BD56-1535,BA.1,10.0
imprinted_2022,BD56-1537,BA.1,4.6
imprinted_2022,BD56-1538,BA.1,10.0
imprinted_2022,BD56-1539,BA.1,3.61
imprinted_2022,BD56-1541,BA.1,1.4
imprinted_2022,BD56-1542,BA.1,10.0
imprinted_2022,BD56-1544,BA.1,10.0
imprinted_2022,BD56-1545,BA.1,3.51
imprinted_2022,BD56-1546,BA.1,10.0
imprinted_2022,BD56-1547,BA.1,10.0
imprinted_2022,BD56-1548,BA.1,10.0
imprinted_2022,BD56-1549,BA.1,10.0
imprinted_2022,BD56-1551,BA.1,1.98
imprinted_2022,BD56-1552,BA.1,0.00416
imprinted_2022,BD56-1554,BA.1,10.0
imprinted_2022,BD56-1556,BA.1,10.0
imprinted_2022,BD56-1557,BA.1,1.59
imprinted_2022,BD56-1559,BA.1,10.0
imprinted_2022,BD56-1560,BA.1,1.48
imprinted_2022,BD56-1562,BA.1,10.0
imprinted_2022,BD56-1565,BA.1,10.0
imprinted_2022,BD56-1566,BA.1,10.0
imprinted_2022,BD56-1567,BA.1,10.0
imprinted_2022,BD56-1568,BA.1,10.0
imprinted_2022,BD56-1570,BA.1,10.0
imprinted_2022,BD56-1572,BA.1,2.58
imprinted_2022,BD56-1573,BA.1,0.0408
imprinted_2022,BD56-1574,BA.1,10.0
imprinted_2022,BD56-1576,BA.1,10.0
imprinted_2022,BD56-1579,BA.1,0.462
imprinted_2022,BD56-1581,BA.1,0.814
imprinted_2022,BD56-1583,BA.1,10.0
imprinted_2022,BD56-1585,BA.1,0.00712
imprinted_2022,BD56-1586,BA.1,10.0
imprinted_2022,BD56-1587,BA.1,10.0
imprinted_2022,BD56-1590,BA.1,2.4
imprinted_2022,BD56-1593,BA.1,2.99
imprinted_2022,BD56-1594,BA.1,10.0
imprinted_2022,BD56-1598,BA.1,0.0846
imprinted_2022,BD56-1599,BA.1,10.0
imprinted_2022,BD56-1600,BA.1,0.839
imprinted_2022,BD56-1601,BA.1,10.0
imprinted_2022,BD56-1603,BA.1,10.0
imprinted_2022,BD56-1604,BA.1,10.0
imprinted_2022,BD56-1605,BA.1,10.0
imprinted_2022,BD56-1606,BA.1,10.0
imprinted_2022,BD56-1607,BA.1,10.0
imprinted_2022,BD56-1608,BA.1,10.0
imprinted_2022,BD56-1609,BA.1,0.005
imprinted_2022,BD56-1610,BA.1,2.46
imprinted_2022,BD56-1611,BA.1,10.0
imprinted_2022,BD56-1612,BA.1,0.0941
imprinted_2022,BD56-1613,BA.1,0.565
imprinted_2022,BD56-1614,BA.1,10.0
imprinted_2022,BD56-1615,BA.1,0.353
imprinted_2022,BD56-1616,BA.1,0.00749
imprinted_2022,BD56-1618,BA.1,0.0064
imprinted_2022,BD56-1619,BA.1,10.0
imprinted_2022,BD56-1620,BA.1,0.0314
imprinted_2022,BD56-1621,BA.1,2.11
imprinted_2022,BD56-1623,BA.1,10.0
imprinted_2022,BD56-1624,BA.1,10.0
imprinted_2022,BD56-1629,BA.1,10.0
imprinted_2022,BD56-1630,BA.1,10.0
imprinted_2022,BD56-1631,BA.1,0.000908
imprinted_2022,BD56-1635,BA.1,10.0
imprinted_2022,BD56-1637,BA.1,0.0561
imprinted_2022,BD56-1638,BA.1,10.0
imprinted_2022,BD56-1639,BA.1,10.0
imprinted_2022,BD56-1640,BA.1,10.0
imprinted_2022,BD56-1642,BA.1,10.0
imprinted_2022,BD56-1647,BA.1,10.0
imprinted_2022,BD56-1648,BA.1,0.0997
imprinted_2022,BD56-1651,BA.1,10.0
imprinted_2022,BD56-1652,BA.1,0.00911
imprinted_2022,BD56-1655,BA.1,10.0
imprinted_2022,BD56-1656,BA.1,10.0
imprinted_2022,BD56-1657,BA.1,0.0228
imprinted_2022,BD56-1658,BA.1,0.0507
imprinted_2022,BD56-1659,BA.1,10.0
imprinted_2022,BD56-1660,BA.1,10.0
imprinted_2022,BD56-1661,BA.1,0.00911
imprinted_2022,BD56-1664,BA.1,10.0
imprinted_2022,BD56-1666,BA.1,10.0
imprinted_2022,BD56-1667,BA.1,0.0526
imprinted_2022,BD56-1669,BA.1,10.0
imprinted_2022,BD56-1671,BA.1,10.0
imprinted_2022,BD56-1672,BA.1,10.0
imprinted_2022,BD56-1673,BA.1,5.77
imprinted_2022,BD56-1674,BA.1,10.0
imprinted_2022,BD56-1679,BA.1,0.00481
imprinted_2022,BD56-1680,BA.1,0.0153
imprinted_2022,BD56-1681,BA.1,10.0
imprinted_2022,BD56-1682,BA.1,10.0
imprinted_2022,BD56-1684,BA.1,0.072
imprinted_2022,BD56-1685,BA.1,10.0
imprinted_2022,BD56-1686,BA.1,10.0
imprinted_2022,BD56-1688,BA.1,0.00778
imprinted_2022,BD56-1689,BA.1,1.28
imprinted_2022,BD56-1691,BA.1,0.00672
imprinted_2022,BD56-1692,BA.1,0.0109
imprinted_2022,BD56-1693,BA.1,0.029
imprinted_2022,BD56-1696,BA.1,10.0
imprinted_2022,BD56-1697,BA.1,0.0019
imprinted_2022,BD56-1699,BA.1,0.128
imprinted_2022,BD56-1700,BA.1,10.0
imprinted_2022,BD56-1701,BA.1,0.937
imprinted_2022,BD56-1703,BA.1,2.68
imprinted_2022,BD56-1705,BA.1,0.667
imprinted_2022,BD56-1706,BA.1,5.78
imprinted_2022,BD56-1709,BA.1,0.0385
imprinted_2022,BD56-1712,BA.1,4.36
imprinted_2022,BD56-1713,BA.1,10.0
imprinted_2022,BD56-1714,BA.1,0.00542
imprinted_2022,BD56-1715,BA.1,10.0
imprinted_2022,BD56-1716,BA.1,0.0173
imprinted_2022,BD56-1717,BA.1,0.000756
imprinted_2022,BD56-1718,BA.1,10.0
imprinted_2022,BD56-1719,BA.1,10.0
imprinted_2022,BD56-1720,BA.1,10.0
imprinted_2022,BD56-1721,BA.1,0.31
imprinted_2022,BD56-1723,BA.1,10.0
imprinted_2022,BD56-1724,BA.1,10.0
imprinted_2022,BD56-1726,BA.1,10.0
imprinted_2022,BD56-1727,BA.1,10.0
imprinted_2022,BD56-1730,BA.1,0.009
imprinted_2022,BD56-1731,BA.1,3.7
imprinted_2022,BD56-1734,BA.1,10.0
imprinted_2022,BD56-1735,BA.1,10.0
imprinted_2022,BD56-1736,BA.1,0.0809
imprinted_2022,BD56-1738,BA.1,10.0
imprinted_2022,BD56-1740,BA.1,0.00866
imprinted_2022,BD56-1741,BA.1,10.0
imprinted_2022,BD56-1742,BA.1,0.0391
imprinted_2022,BD56-1743,BA.1,0.00089
imprinted_2022,BD56-1744,BA.1,0.0936
imprinted_2022,BD56-1745,BA.1,10.0
imprinted_2022,BD56-1746,BA.1,10.0
imprinted_2022,BD56-1748,BA.1,10.0
imprinted_2022,BD56-1749,BA.1,0.00187
imprinted_2022,BD56-1750,BA.1,10.0
imprinted_2022,BD56-1752,BA.1,1.53
imprinted_2022,BD56-1753,BA.1,10.0
imprinted_2022,BD56-1754,BA.1,0.000889
imprinted_2022,BD56-1755,BA.1,2.38
imprinted_2022,BD56-1757,BA.1,0.523
imprinted_2022,BD56-1758,BA.1,10.0
imprinted_2022,BD56-1759,BA.1,1.17
imprinted_2022,BD56-1760,BA.1,0.891
imprinted_2022,BD56-1761,BA.1,0.0868
imprinted_2022,BD56-1762,BA.1,0.0103
imprinted_2022,BD56-1763,BA.1,0.0818
imprinted_2022,BD56-1764,BA.1,0.179
imprinted_2022,BD56-1765,BA.1,0.0575
imprinted_2022,BD56-1766,BA.1,10.0
imprinted_2022,BD56-1767,BA.1,2.83
imprinted_2022,BD56-1769,BA.1,3.17
imprinted_2022,BD56-1770,BA.1,0.144
imprinted_2022,BD56-1771,BA.1,10.0
imprinted_2022,BD56-1773,BA.1,10.0
imprinted_2022,BD56-1774,BA.1,10.0
imprinted_2022,BD56-1776,BA.1,0.00349
imprinted_2022,BD56-1777,BA.1,0.0112
imprinted_2022,BD56-1778,BA.1,10.0
imprinted_2022,BD56-1779,BA.1,10.0
imprinted_2022,BD56-1780,BA.1,0.0187
imprinted_2022,BD56-1781,BA.1,0.0123
imprinted_2022,BD56-1783,BA.1,0.702
imprinted_2022,BD56-1784,BA.1,10.0
imprinted_2022,BD56-1785,BA.1,0.0298
imprinted_2022,BD56-1786,BA.1,0.181
imprinted_2022,BD56-1787,BA.1,0.00091
imprinted_2022,BD56-1789,BA.1,10.0
imprinted_2022,BD56-1790,BA.1,0.167
imprinted_2022,BD56-1793,BA.1,0.937
imprinted_2022,BD56-1797,BA.1,10.0
imprinted_2022,BD56-1798,BA.1,0.039
imprinted_2022,BD56-1800,BA.1,0.0123
imprinted_2022,BD56-1801,BA.1,3.99
imprinted_2022,BD56-1802,BA.1,0.0408
imprinted_2022,BD56-1803,BA.1,0.0654
imprinted_2022,BD56-1804,BA.1,10.0
imprinted_2022,BD56-1805,BA.1,0.0349
imprinted_2022,BD56-1806,BA.1,10.0
imprinted_2022,BD56-1807,BA.1,0.0734
imprinted_2022,BD56-1809,BA.1,0.0176
imprinted_2022,BD56-1810,BA.1,10.0
imprinted_2022,BD56-1811,BA.1,10.0
imprinted_2022,BD56-1812,BA.1,10.0
imprinted_2022,BD56-1813,BA.1,10.0
imprinted_2022,BD56-1814,BA.1,10.0
imprinted_2022,BD56-1815,BA.1,0.00148
imprinted_2022,BD56-1816,BA.1,10.0
imprinted_2022,BD56-1818,BA.1,0.198
imprinted_2022,BD56-1820,BA.1,0.0077
imprinted_2022,BD56-1822,BA.1,10.0
imprinted_2022,BD56-1824,BA.1,0.0182
imprinted_2022,BD56-1825,BA.1,0.634
imprinted_2022,BD56-1826,BA.1,0.0349
imprinted_2022,BD56-1827,BA.1,0.218
imprinted_2022,BD56-1828,BA.1,0.0459
imprinted_2022,BD56-1829,BA.1,0.0111
imprinted_2022,BD56-1831,BA.1,10.0
imprinted_2022,BD56-1833,BA.1,0.00466
imprinted_2022,BD56-1834,BA.1,0.0687
imprinted_2022,BD56-1835,BA.1,0.0993
imprinted_2022,BD56-1837,BA.1,0.0451
imprinted_2022,BD56-1838,BA.1,0.000727
imprinted_2022,BD56-1839,BA.1,0.0101
imprinted_2022,BD56-1841,BA.1,10.0
imprinted_2022,BD56-1842,BA.1,5.41
imprinted_2022,BD56-1843,BA.1,0.0478
imprinted_2022,BD56-1844,BA.1,10.0
imprinted_2022,BD56-1847,BA.1,0.00465
imprinted_2022,BD56-1849,BA.1,0.333
imprinted_2022,BD56-1850,BA.1,0.019
imprinted_2022,BD56-1851,BA.1,0.00119
imprinted_2022,BD56-1852,BA.1,0.00524
imprinted_2022,BD56-1853,BA.1,0.00607
imprinted_2022,BD56-1854,BA.1,0.00108
imprinted_2022,BD56-1856,BA.1,0.00303
imprinted_2022,BD56-1857,BA.1,0.571
imprinted_2022,BD56-1859,BA.1,10.0
imprinted_2022,BD56-1860,BA.1,9.86
imprinted_2022,BD56-1861,BA.1,0.00158
imprinted_2022,BD56-1862,BA.1,0.0489
imprinted_2022,BD56-1863,BA.1,0.00495
imprinted_2022,BD56-1864,BA.1,10.0
imprinted_2022,BD56-1865,BA.1,0.109
imprinted_2022,BD56-1866,BA.1,10.0
imprinted_2022,BD56-1869,BA.1,0.00275
imprinted_2022,BD56-1870,BA.1,10.0
imprinted_2022,BD56-1872,BA.1,0.0013
imprinted_2022,BD56-1873,BA.1,0.0214
